泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
ฤดู	rue du	季節	初 5-5	ฤดู
ฤดูร้อน	rue du ron	夏季	初 5-5	ฤดู
ฤดูฝน	rue du fon	雨季	初 5-5	ฝน, ฤดู
ฤดูหนาว	rue du nao	冬季	初 5-5	ฤดู
ฤดูร้อน อากาศที่ไทเป อบอ้าว	rue du ron akat thi thai pe op ao	夏季台北的天氣悶熱	初 5-5	ฤดู
ฤดูหนาว อากาศที่ไทเป หนาวชื้น	rue du nao akat thi thai pe nao chuen	冬季台北的天氣濕冷	初 5-5	ฤดู
ที่ไต้หวัน ไม่มี ฤดูฝน	thi tai wan mai mi rue du fon	在台灣沒有雨季	初 5-5	ฝน, ฤดู
ฝนตกทั้งปี	fon tok thang pi	全年下雨	初 5-5	ฝน
หน้าฝน	na fon	雨季（口語）	初 5-5	ฝน
ฤดูใบไม้ผลิ	rue du bai mai phli	春季	初 5-5	ฤดู
ฤดูใบไม้ร่วง	rue du bai mai ruang	秋季	初 5-5	ร่วง, ฤดู
ร่วง	ruang	掉落	初 5-5	ร่วง
ผมร่วง	phom ruang	掉頭髮	初 5-5	ร่วง
ฤดูทุเรียน	rue du thu rian	榴槤季	初 5-5	ฤดู
ช่วงนี้เป็นหน้าทุเรียน	chuang ni pen na thu rian	最近是榴槤季	初 5-5	ช่วง
หน้าสับปะรด	na sap pa rot	鳳梨季	初 5-5	รด
น้ำท่วมบ่อย	nam thuam boy	經常淹水	初 5-5	ท่วม
น้ำท่วมหนัก	nam thuam nak	淹大水	初 5-5	ท่วม
น้ำท่วม	nam thuam	淹水	初 5-5	ท่วม
ตากลม	tak lom	吹風	初 5-5	กลม
ตากฝน	tak fon	淋雨	初 5-5	ฝน
วันจันทร์	wan chan	星期一	初 5-5	จันทร์
พระจันทร์เต็มดวง	phra chan tem duang	滿月	初 5-5	จันทร์, ดวง
ดวง	duang	顆 (量詞)	初 5-5	ดวง
ดวงดาว	duang dao	星星	初 5-5	ดวง
ดวงขึ้น	duang khuen	走好運/運勢上升	初 5-5	ดวง
ดวงตก	duang tok	走霉運/運勢下降	初 5-5	ดวง
ดูดวง	du duang	算命 (看運勢)	初 5-5	ดวง
เสื้อกันฝน	suea kan fon	雨衣	初 5-5	ฝน
ร่มกันแดด	rom kan daet	陽傘	初 5-5	ร่ม
ร่มกันฝน	rom kan fon	雨傘	初 5-5	ฝน, ร่ม
ร่ม	rom	傘	初 5-5	ร่ม
หมวกกันน็อก	muak kan nok	安全帽	初 5-5	หมวก
หมวก	muak	帽子	初 5-5	หมวก
ใส่หมวก	sai muak	戴帽子	初 5-5	หมวก
ถอดหมวก	thot muak	脫帽子	初 5-5	หมวก
อุณหภูมิ	unaphum	溫度	初 5-6	ภูมิ, อุณห
พรุ่งนี้อุณหภูมิเท่าไหร่	phrung ni unaphum thao rai	明天溫度幾度	初 5-6	ภูมิ, อุณห
พรุ่งนี้อุณหภูมิจะสูงขึ้น	phrung ni unaphum cha sung khuen	明天溫度會升高	初 5-6	ภูมิ, อุณห
องศา	ongsa	度（溫度單位）	初 5-6	อง
ภาคเหนืออุณหภูมิกี่องศา	phak nuea unaphum ki ongsa	北部溫度幾度	初 5-6	ภูมิ, อง, อุณห
ภาคเหนืออุณหภูมิสามสิบสามองศา	phak nuea unaphum sam sip sam ongsa	北部溫度三十三度	初 5-6	ภูมิ, อง, อุณห
อบขนมปังใช้กี่องศา	op khanom pang chai ki ongsa	烤麵包要用幾度	初 5-6	อง
ใช้สองร้อยองศา	chai song roi ongsa	用兩百度	初 5-6	อง
ฤดู	ruedu	季節	初 5-6	ฤดู
ฤดูร้อน	ruedu ron	夏季	初 5-6	ฤดู
ฤดูร้อนบางจังหวัดร้อนมากๆ	ruedu ron bang changwat ron mak mak	夏天有些府非常熱	初 5-6	ฤดู
ฤดูร้อนอุณหภูมิสูงถึงสี่สิบองศา	ruedu ron unaphum sung thueng si sip ongsa	夏天溫度高達四十度	初 5-6	ภูมิ, ฤดู, อง, อุณห
ฤดูฝน	ruedu fon	雨季	初 5-6	ฝน, ฤดู
เดือนห้าถึงเดือนสิบเป็นฤดูฝน	duean ha thueng duean sip pen ruedu fon	五月到十月是雨季	初 5-6	ฝน, ฤดู
ฤดูหนาว	ruedu nao	冬季	初 5-6	ฤดู
ฤดูหนาวปีนี้	ruedu nao pi ni	今年的冬天	初 5-6	ฤดู
ฤดูหนาวปีนี้ที่ยุโรปหิมะตกหนัก	ruedu nao pi ni thi yurop hima tok nak	今年冬天在歐洲雪下得很大	初 5-6	ฤดู
ฤดูใบไม้ผลิ	ruedu bai mai phli	春季	初 5-6	ฤดู
ฤดูใบไม้ผลิอากาศเย็นสบาย	ruedu bai mai phli akat yen sabai	春天天氣涼爽	初 5-6	ฤดู
ฤดูใบไม้ร่วง	ruedu bai mai ruang	秋季	初 5-6	ร่วง, ฤดู
ฤดูใบไม้ร่วงหลายที่ใบไม้จะเปลี่ยนสี	ruedu bai mai ruang lai thi bai mai cha plian si	秋天很多地方的葉子會變色	初 5-6	ร่วง, ฤดู
หน้ามะม่วง	na mamuang	芒果季	初 5-6	ม่วง
หน้าผลไม้อะไร	na phonlamai arai	什麼水果季	初 5-6	ผล
พวกเราต้องช่วยกัน	phuak rao tong chuai kan	我們必須互相幫忙	初 5-6	พวก
ลดโลกร้อน	lot lok ron	減緩地球暖化	初 5-6	ลด
พวกเราต้องช่วยกันลดโลกร้อน	phuak rao tong chuai kan lot lok ron	我們必須互相幫忙減緩地球暖化	初 5-6	พวก, ลด
ละลายหมดแล้ว	lalai mot laeo	都融化了	初 5-6	หมด
พอฝนตกก็น้ำท่วม	pho fon tok ko nam thuam	一下雨就淹水	初 5-6	ท่วม, ฝน
ฤดูฝนปีนี้	ruedu fon pi ni	今年的雨季	初 5-6	ฝน, ฤดู
หลายประเทศน้ำท่วม	lai prathet nam thuam	很多國家淹水	初 5-6	ท่วม
คืนนี้พระจันทร์ดวงโต	khuen ni phra chan duang to	今晚月亮很大	初 5-6	จันทร์, ดวง
ดวงขึ้นทำอะไรก็ดี	duang khuen tham arai ko di	運氣好做什麼都順利	初 5-6	ดวง
ดวงตกทำอะไรก็แย่	duang tok tham arai ko yae	運氣差做什麼都倒楣	初 5-6	ดวง
ฝนตกแรง	fon tok raeng	雨下得很大	初 5-6	ฝน
ลมแรง	lom raeng	風很大	初 5-6	ลม
ฝนต้องตกแน่นอน	fon tong tok naenon	一定會下雨	初 5-6	ฝน
ต้องไปหน้าฝน	tong pai na fon	必須在雨季去	初 5-6	ฝน
ไม่ใส่หมวกกันน็อค	mai sai muak kan nok	沒戴安全帽	初 5-6	หมวก
ถ้าไม่ใส่หมวกกันน็อค	tha mai sai muak kan nok	如果沒戴安全帽	初 5-6	หมวก
แย่แล้วลืมเอาร่มมา	yae laeo luem ao rom ma	糟了忘記帶傘來	初 5-6	ร่ม
ถ้าไม่มีร่ม	tha mai mi rom	如果沒有傘	初 5-6	ร่ม
ต้องตากฝนกลับบ้าน	tong tak fon klap ban	就必須淋雨回家	初 5-6	ฝน
ลูกข้ามถนน	luk kham thanon	小孩過馬路	初 5-6	ถนน
จมูก	chamuk	鼻子	初 5-6	จมูก
รสชาติจัด	rot chat chat	味道重	初 5-6	ชาติ, รส
ขน	khon	毛	初 5-6	ขน
ขนไก่	khon kai	雞毛	初 5-6	ขน
ขนหมู	khon mu	豬毛	初 5-6	ขน
ขนตา	khon ta	睫毛	初 5-6	ขน
ติดขนตา	tit khon ta	貼睫毛	初 5-6	ขน
แต่งตัวทันสมัย	taeng tua than samai	穿著時髦	初 5-6	สมัย
สมัยนี้	samai ni	這個時代	初 5-6	สมัย
สมัยเด็ก	samai dek	小時候	初 5-6	สมัย
ช่วงนี้อากาศแย่	chuang ni akat yae	最近天氣很糟	初 5-7	ช่วง
เค้าหลอกฉันว่าเค้าเป็นมหาเศรษฐี	khao lok chan wa khao pen mahasetthi	他騙我說他是大富翁	初 5-7	มหา
บ้าตกใจหมดเลย	ba tok chai mot loei	瘋了嚇死我了	初 5-7	หมด
อุ๊ยตกใจหมดเลย	ui tok chai mot loei	哎呀嚇死我了	初 5-7	หมด
ทำให้พวกเราเหงื่อไหล	tham hai phuak rao nguea lai	讓我們流汗	初 5-7	พวก
ฤดูร้อน	ruedu ron	夏季	初 5-7	ฤดู
ได้มั้คะ	tai mai kha	可以嗎	初 5-7	มั้คะ
ตกแต่งใหม่ทั้งหมด	tok taeng mai thang mot	全部重新裝潢	初 5-7	หมด
ทำเค้กเป็นมย	tham khek pen mai	會做蛋糕嗎	初 5-7	มย
เธอไม่รู้จักเขาเชยจริงๆ	thoe mai ru chak khao choei ching ching	你不認識他真土	初 5-7	จริง, ๆ
สมัย	samai	時代	初 5-7	สมัย
ทันสมัย	than samai	時髦	初 5-7	สมัย
ไม่ทันสมัยจริงๆ	mai than samai ching ching	真不跟上時代	初 5-7	จริง, สมัย, ๆ
สมัยเด็ก	samai dek	小時候	初 5-7	สมัย
สมัยปู่ย่าตายาย	samai pu ya ta yai	阿公阿嬤的時代	初 5-7	สมัย
ถ้ากินไม่หมด	tha kin mai mot	如果吃不完	初 5-7	หมด
ช่วงฤดูหนาว	chuang ruedu nao	冬季期間	初 5-7	ช่วง, ฤดู
สงกรานต์	song kran	潑水節	初 5-7	สง
ไปอนุสาวรีย์	pai a nu sa wa ri	去紀念碑	初 5-7	อนุ
สถานีขนส่งหมอชิต	sa tha ni khon song mo chit	摩七客運站	初 5-7	ขน, ส่ง
สถานีขนส่งสายใต้	sa tha ni khon song sai tai	南部客運站	初 5-7	ขน, ส่ง
ไปขนส่งใหม่	pai khon song mai	去新客運站	初 5-7	ขน, ส่ง
พยายาม	pha ya yam	努力 / 嘗試	初 5-7	พยา
พิพิธภัณฑ์แห่งชาตินะคะ	phi phit tha phan haeng chat na kha	國家博物館喔	初 5-7	ชาติ
อด	ot	忍耐 / 挨餓	初 5-7	อด
ตลาดน้ำอัมพวา	ta lat nam am pha wa	安帕瓦水上市場	初 5-7	พ
พระปฐมเจดีย์	phra pa thom che di	佛統大塔	初 5-7	ปฐม
ภูมิพล	phu mi phon	蒲美蓬	初 5-7	พล, ภูมิ
ผมคิดว่าเรื่องนี้น่าสงสัย	Phom khit wa rueang ni na songsai	我認為這件事情很可疑	初 5-8	สง
รสชาติขมไปหน่อย	Rotchat khom pai noi	味道有點苦	初 5-8	ขม, ชาติ, รส
ละครเรื่องนี้น่าเบื่อไปหน่อย	Lakhon rueang ni na buea pai noi	這部劇有點無聊	初 5-8	คร
ถ้าไม่ขยันก็ไม่รวย	Tha mai khayan ko mai ruay	如果不勤奮就不會富有	初 5-8	ขยัน
อยากรวยต้องขยัน	Yak ruay tong khayan	想要富有就要勤奮	初 5-8	ขยัน
มหาเศรษฐี	Maha setthi	大富翁、億萬富翁	初 5-8	มหา
พวกเขาเป็นมหาเศรษฐี	Phuak khao pen maha setthi	他們是大富翁	初 5-8	พวก, มหา
เคยเล่นเกมมหาเศรษฐีไหม	Khoei len kem maha setthi mai	玩過大富翁遊戲嗎？	初 5-8	มหา
คนจนน่าสงสาร	Khon chon na songsan	窮人很可憐	初 5-8	จน, สง
เขาจนมากเป็นหนี้เยอะ	Khao chon mak pen ni yoe	他很窮且負債很多	初 5-8	จน
พวกเรามาเร็วเกินไป ร้านยังไม่เปิด	phuak rao ma rew koen pai ran yang mai poet	我們太早來了，店還沒開。	初 5-8	พวก
คะแนนต่ำ สมน้ำหน้า	kha naen tam som nam na	分數很低，活該	初 5-8	สม
พรุ่งนี้อุณหภูมิจะต่ำลง	phrung ni un ha phum cha tam long	明天氣溫會降低	初 5-8	ภูมิ, อุณห
อากาศเปลี่ยนบ่อย ทำให้พวกเราเป็นหวัดง่าย	a kat plian boi tham hai phuak rao pen wat ngai	天氣常變化，讓我們容易感冒	初 5-8	พวก
ช่วงนี้ผอมลงไหมคะ	chuang ni phom long mai kha	最近變瘦了嗎？	初 5-8	ช่วง
กินแต่ผักลวกกับไข่ต้มก็ไม่ผอมลง	kin tae phak luak kap khai tom ko mai phom long	只吃燙青菜跟水煮蛋也不會瘦	初 5-8	ลวก
ไม่ต้องลดความอ้วนแล้ว	mai tong lot khwam uan laeo	不用減肥了	初 5-8	ลด, อ้วน
ส่วนตัว	suan tua	個人 / 私人	初 5-8	ส่วน
เขามโนว่าบ้านเขามีเครื่องบินส่วนตัว	khao ma no wa ban khao mi khrueang bin suan tua	他吹牛說他家有私人飛機	初 5-8	มโน, ส่วน
เมียทั้งขี้บ่นทั้งขี้หึง	mia thang khi bon thang khi hueng	老婆又愛抱怨又愛吃醋	初 5-8	บ่น
ตอนนี้คุณง่วงไหม	ton ni khun nguang mai	現在你睏嗎	初 5-8	ง่วง
ถ้าง่วงอย่าขับรถเป็นอันขาด	tha nguang ya khap rot pen an khat	如果睏了絕對不要開車	初 5-8	ง่วง
ฟังแล้วรู้สึกงง	fang laeo rusuek ngong	聽了感到困惑	初 5-8	งง
เค้าหลอกฉันทำให้ฉันงง	khao lok chan tham hai chan ngong	他騙我讓我感到困惑	初 5-8	งง
กินแค่นี้ระวังเป็นลมนะ	kin khae ni rawang pen lom na	只吃這樣小心暈倒喔	初 5-8	ลม
ต้องขยันเรียนหนังสือ	Tong kha yan rian nang seu	要勤勞讀書	初 5-8	ขยัน
