泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
ลูกข้ามถนน	luk kham thanon	lūkˋ kāmˋ taˇ non	小孩過馬路	derived	
จมูก	chamuk	jaˇ mūkˋ	鼻子	derived	
รสชาติจัด	rot chat chat	rot~ chātˋ jatˇ	味道重	derived	
ขน	khon	konˊ	毛	derived	
ขนไก่	khon kai	konˊ gaiˇ	雞毛	derived	
ขนหมู	khon mu	konˊ mūˊ	豬毛	derived	
ขนตา	khon ta	konˊ dā	睫毛	derived	
ติดขนตา	tit khon ta	ditˇ konˊ dā	貼睫毛	derived	
แต่งตัวทันสมัย	taeng tua than samai	dɛ̄ngˇ dūa tan saˇ maiˊ	穿著時髦	derived	
สมัยนี้	samai ni	saˇ maiˊ nī~	這個時代	derived	
สมัยเด็ก	samai dek	saˇ maiˊ dhekˇ	小時候	derived	
ช่วงนี้อากาศแย่	chuang ni akat yae	chūangˋ nī~ ā gātˇ yɛ̄ˋ	最近天氣很糟	engine-auto	
เค้าหลอกฉันว่าเค้าเป็นมหาเศรษฐี	khao lok chan wa khao pen mahasetthi	kāu~ lɔ̄kˇ chanˊ wāˋ kāu~ ben ma~ hāˊ srētˇ tīˊ	他騙我說他是大富翁	derived	
บ้าตกใจหมดเลย	ba tok chai mot loei	bhāˋ dokˇ jai motˇ lə̄i	瘋了嚇死我了	derived	
อุ๊ยตกใจหมดเลย	ui tok chai mot loei	ui~ dokˇ jai motˇ lə̄i	哎呀嚇死我了	derived	
ทำให้พวกเราเหงื่อไหล	tham hai phuak rao nguea lai	tam haiˋ pūakˋ rāu ngɯ̄aˇ laiˊ	讓我們流汗	engine-auto	
ฤดูร้อน	ruedu ron	rɯ dhū rɔ̄n~	夏季	derived	
ตกแต่งใหม่ทั้งหมด	tok taeng mai thang mot	dokˇ dɛ̄ngˇ maiˇ tang~ motˇ	全部重新裝潢	derived	
เธอไม่รู้จักเขาเชยจริงๆ	thoe mai ru chak khao choei ching ching	tə̄ maiˋ rū~ jakˇ kāuˊ chə̄i jing jing	你不認識他真土	derived	
สมัย	samai	saˇ maiˊ	時代	derived	
ทันสมัย	than samai	tan saˇ maiˊ	時髦	derived	
ไม่ทันสมัยจริงๆ	mai than samai ching ching	maiˋ tan saˇ maiˊ jing jing	真不跟上時代	derived	
สมัยเด็ก	samai dek	saˇ maiˊ dhekˇ	小時候	derived	
สมัยปู่ย่าตายาย	samai pu ya ta yai	saˇ maiˊ būˇ yāˋ dā yāi	阿公阿嬤的時代	derived	
ถ้ากินไม่หมด	tha kin mai mot	tāˋ gin maiˋ motˇ	如果吃不完	derived	
ช่วงฤดูหนาว	chuang ruedu nao	chūangˋ rɯ dhū nāuˊ	冬季期間	derived	
สงกรานต์	song kran	songˊ grān	潑水節	derived	
ไปอนุสาวรีย์	pai a nu sa wa ri	bai aˇ nu~ sāuˊ rī	去紀念碑	derived	
สถานีขนส่งหมอชิต	sa tha ni khon song mo chit	saˇ tāˊ nī konˊ songˇ mɔ̄ˊ chit~	摩七客運站	derived	
สถานีขนส่งสายใต้	sa tha ni khon song sai tai	saˇ tāˊ nī konˊ songˇ sāiˊ daiˋ	南部客運站	derived	
ไปขนส่งใหม่	pai khon song mai	bai konˊ songˇ maiˇ	去新客運站	derived	
พยายาม	pha ya yam	pa~ yā yām	努力 / 嘗試	derived	
พิพิธภัณฑ์แห่งชาตินะคะ	phi phit tha phan haeng chat na kha	pi~ pit~ pan hɛ̄ngˇ chātˋ na~ ka~	國家博物館喔	derived	
อด	ot	otˇ	忍耐 / 挨餓	derived	
พระปฐมเจดีย์	phra pa thom che di	pra~ baˇ toˊ jē dhī	佛統大塔	derived	
ผมคิดว่าเรื่องนี้น่าสงสัย	Phom khit wa rueang ni na songsai	pomˊ kit~ wāˋ rɯ̄angˋ nī~ nāˋ songˊ saiˊ	我認為這件事情很可疑	derived	
รสชาติขมไปหน่อย	Rotchat khom pai noi	rot~ chātˋ komˊ bai nɔ̄iˇ	味道有點苦	derived	
ละครเรื่องนี้น่าเบื่อไปหน่อย	Lakhon rueang ni na buea pai noi	la~ kɔ̄n rɯ̄angˋ nī~ nāˋ bhɯ̄aˇ bai nɔ̄iˇ	這部劇有點無聊	derived	
ถ้าไม่ขยันก็ไม่รวย	Tha mai khayan ko mai ruay	tāˋ maiˋ kaˇ yanˊ gɔ̄ˋ maiˋ rūay	如果不勤奮就不會富有	derived	
อยากรวยต้องขยัน	Yak ruay tong khayan	yākˋ rūay dɔ̄ngˋ kaˇ yanˊ	想要富有就要勤奮	derived	
มหาเศรษฐี	Maha setthi	ma~ hāˊ srētˇ tīˊ	大富翁、億萬富翁	derived	
พวกเขาเป็นมหาเศรษฐี	Phuak khao pen maha setthi	pūakˋ kāuˊ ben ma~ hāˊ srētˇ tīˊ	他們是大富翁	derived	
เคยเล่นเกมมหาเศรษฐีไหม	Khoei len kem maha setthi mai	kə̄i lēnˋ gēm ma~ hāˊ srētˇ tīˊ maiˊ	玩過大富翁遊戲嗎？	derived	
คนจนน่าสงสาร	Khon chon na songsan	kon jon nāˋ songˊ sānˊ	窮人很可憐	derived	
เขาจนมากเป็นหนี้เยอะ	Khao chon mak pen ni yoe	kāuˊ jon mākˋ ben nīˋ yə~	他很窮且負債很多	derived	
พวกเรามาเร็วเกินไป ร้านยังไม่เปิด	phuak rao ma rew koen pai ran yang mai poet	pūakˋ rāu mā rew gə̄n bai rān~ yang maiˋ bə̄tˇ	我們太早來了，店還沒開。	engine-auto	
คะแนนต่ำ สมน้ำหน้า	kha naen tam som nam na	ka~ nɛ̄n damˇ somˊ nām~ nāˋ	分數很低，活該	derived	
พรุ่งนี้อุณหภูมิจะต่ำลง	phrung ni un ha phum cha tam long	prungˋ nī~ uˇ na~ pūm jaˇ damˇ long	明天氣溫會降低	derived	
อากาศเปลี่ยนบ่อย ทำให้พวกเราเป็นหวัดง่าย	a kat plian boi tham hai phuak rao pen wat ngai	ā gātˇ blīanˇ bhɔ̄iˇ tam haiˋ pūakˋ rāu ben watˇ ngāiˋ	天氣常變化，讓我們容易感冒	engine-auto	
ช่วงนี้ผอมลงไหมคะ	chuang ni phom long mai kha	chūangˋ nī~ pɔ̄mˊ long maiˊ ka~	最近變瘦了嗎？	engine-auto	
กินแต่ผักลวกกับไข่ต้มก็ไม่ผอมลง	kin tae phak luak kap khai tom ko mai phom long	gin dɛ̄ˇ pakˇ lūakˋ gapˇ kaiˇ domˋ gɔ̄ˋ maiˋ pɔ̄mˊ long	只吃燙青菜跟水煮蛋也不會瘦	engine-auto	
ไม่ต้องลดความอ้วนแล้ว	mai tong lot khwam uan laeo	maiˋ dɔ̄ngˋ lot~ kwām ūanˋ lɛ̄u~	不用減肥了	derived	
ส่วนตัว	suan tua	sūanˇ dūa	個人 / 私人	engine-auto	
เขามโนว่าบ้านเขามีเครื่องบินส่วนตัว	khao ma no wa ban khao mi khrueang bin suan tua	kāuˊ ma~ nō wāˋ bhānˋ kāuˊ mī krɯ̄angˋ bhin sūanˇ dūa	他吹牛說他家有私人飛機	derived	
เมียทั้งขี้บ่นทั้งขี้หึง	mia thang khi bon thang khi hueng	mīa tang~ kīˋ bhonˇ tang~ kīˋ hɯngˊ	老婆又愛抱怨又愛吃醋	derived	
ตอนนี้คุณง่วงไหม	ton ni khun nguang mai	dɔ̄n nī~ kun ngūangˋ maiˊ	現在你睏嗎	engine-auto	
ถ้าง่วงอย่าขับรถเป็นอันขาด	tha nguang ya khap rot pen an khat	tāˋ ngūangˋ yāˋ kapˇ rot~ ben an kātˇ	如果睏了絕對不要開車	engine-auto	
ฟังแล้วรู้สึกงง	fang laeo rusuek ngong	fang lɛ̄u~ rū~ sɯkˇ ngong	聽了感到困惑	derived	
เค้าหลอกฉันทำให้ฉันงง	khao lok chan tham hai chan ngong	kāu~ lɔ̄kˇ chanˊ tam haiˋ chanˊ ngong	他騙我讓我感到困惑	derived	
กินแค่นี้ระวังเป็นลมนะ	kin khae ni rawang pen lom na	gin kɛ̄ˋ nī~ ra~ wang ben lom na~	只吃這樣小心暈倒喔	derived	
ต้องขยันเรียนหนังสือ	Tong kha yan rian nang seu	dɔ̄ngˋ kaˇ yanˊ rīan nangˊ sɯ̄ˊ	要勤勞讀書	derived	
ต้องขยันทำงาน	Tong kha yan tham ngan	dɔ̄ngˋ kaˇ yanˊ tam ngān	要勤快工作	derived	
ไทเปไปไหนมาไหนสะดวกมาก	Thai pe pai nai ma nai sa duak mak	tai bē bai naiˊ mā naiˊ saˇ dhūakˇ mākˋ	台北去哪裡都非常方便	engine-auto	
วันนี้ไม่สะดวก วันหลังนะ	Wan ni mai sa duak wan lang na	wan nī~ maiˋ saˇ dhūakˇ wan langˊ na~	今天不方便，改天哦	engine-auto	
ช่วงนี้เบื่อเมียมาก	Chuang ni buea mia mak	chūangˋ nī~ bhɯ̄aˇ mīa mākˋ	最近很煩老婆	engine-auto	
ช่วงนี้เบื่อบ้านมาก	Chuang ni buea ban mak	chūangˋ nī~ bhɯ̄aˇ bhānˋ mākˋ	最近很煩家裡	engine-auto	
รสชาติเฉยๆ	Rot chat choei choei	rot~ chātˋ chə̄iˊ chə̄iˊ	味道普普通通	derived	
คนธรรมดา	Khon tham ma da	kon tam dhā	普通人	derived	
วันธรรมดา	Wan tham ma da	wan tam dhā	平日	derived	
จะเอาข้าวมันไก่ธรรมดาหรือพิเศษคะ	Ja ao khao man kai tham ma da rue phi set kha	jaˇ au kāuˋ man gaiˇ tam dhā rɯ̄ˊ pi~ sētˇ ka~	要一份海南雞飯普通的還是加大的	derived	
จิ้ม พัดลมอันตรายไหม	jim phat lom antrai mai	jimˋ pat~ lom an drāi maiˊ	詹姆士，電風扇危險嗎？	derived	
สว่าง	sawang	saˇ wāngˋ	亮	derived	
ห้องสว่าง	hong sawang	hɔ̄ngˋ saˇ wāngˋ	房間很亮	derived	
เมื่อไหร่คุณจะตาสว่าง เค้าหลอกคุณหลายครั้งแล้ว	muearai khun cha ta sawang khao lok khun lai khrang laeo	mɯ̄aˋ raiˇ kun jaˇ dā saˇ wāngˋ kāu~ lɔ̄kˇ kun lāiˊ krang~ lɛ̄u~	你什麼時候才會清醒？他騙你好幾次了。	derived	
สงสัย	songsai	songˊ saiˊ	懷疑	derived	
รู้สึกสงสัย	rusuek songsai	rū~ sɯkˇ songˊ saiˊ	感覺懷疑	derived	
รู้สึกงง	rusuek ngong	rū~ sɯkˇ ngong	感覺疑惑 / 迷惘	derived	
สงสาร	songsan	songˊ sānˊ	可憐	derived	
รู้สึกสงสาร	rusuek songsan	rū~ sɯkˇ songˊ sānˊ	感覺可憐	derived	
รสชาติแปลกๆ ทำไมขมอย่างนี้	rotchat plaek plaek thamai khom yang ni	rot~ chātˋ blɛ̄kˇ blɛ̄kˇ tam mai komˊ yāngˋ nī~	味道怪怪的，為什麼這麼苦？	derived	
กลิ่นผลไม้	klin phon la mai	glinˇ ponˊ mai~	果香	derived	
อาการน่าเป็นห่วง	akan na pen huang	ā gān nāˋ ben hūangˇ	症狀令人擔心	derived	
ถ้าฝนตกหนักน้ำท่วมแน่นอน	tha fon tok nak nam thuam naenon	tāˋ fonˊ dokˇ nakˇ nām~ tūamˋ nɛ̄ˋ nɔ̄n	如果下大雨一定淹水	derived	
ลดความอ้วน	lot khwam uan	lot~ kwām ūanˋ	減肥	derived	
กินผักลวก	kin phak luak	gin pakˇ lūakˋ	吃燙青菜	engine-auto	
ซื้อหวย	suea huai	sɯ̄~ hūayˊ	買彩券	derived	
ซื้อหวยบ่อยๆ	suea huai boi boi	sɯ̄~ hūayˊ bhɔ̄iˇ bhɔ̄iˇ	常常買彩券	derived	
ธุรกิจส่วนตัว	thurakit suan tua	tun gitˇ sūanˇ dūa	個人事業	engine-auto	
รถส่วนตัว	rot suan tua	rot~ sūanˇ dūa	私人車	engine-auto	
ห้องส่วนตัว	hong suan tua	hɔ̄ngˋ sūanˇ dūa	私人房間	engine-auto	
เก้าอี้ส่วนตัว	kaoi suan tua	gāuˋ īˋ sūanˇ dūa	專屬椅子	engine-auto	
ทำธุรกิจส่วนตัว	tham thurakit suan tua	tam tun gitˇ sūanˇ dūa	自己創業	engine-auto	
เมื่อก่อนอ้วน	muea kon uan	mɯ̄aˋ gɔ̄nˇ ūanˋ	以前胖	engine-auto	
อ้วนเหมือนกัน	uan muean kan	ūanˋ mɯ̄anˊ gan	一樣胖	engine-auto	
เมื่อก่อนจน	muea kon chon	mɯ̄aˋ gɔ̄nˇ jon	以前窮	derived	
ก็จนเหมือนกัน	ko chon muean kan	gɔ̄ˋ jon mɯ̄anˊ gan	也一樣窮	derived	
อ้วนเร็ว	uan rew	ūanˋ rew	胖得快	engine-auto	
อ้วนง่าย	uan ngai	ūanˋ ngāiˋ	容易胖	engine-auto	
อยากอ้วน	yak uan	yākˋ ūanˋ	想變胖	engine-auto	
ทั้งอ้วนทั้งจน	thang uan thang chon	tang~ ūanˋ tang~ jon	又胖又窮	derived	
ฝนไม่ตก	fon mai tok	fonˊ maiˋ dokˇ	不下雨	derived	
ฝนตก	fon tok	fonˊ dokˇ	下雨	derived	
ข้างนอกฝนไม่ตก	khang nok fon mai tok	kāngˋ nɔ̄kˋ fonˊ maiˋ dokˇ	外面不下雨	derived	
ข้างนอกฝนตก	khang nok fon tok	kāngˋ nɔ̄kˋ fonˊ dokˇ	外面下雨	derived	
ไม่อ้วนเลย	mai uan loei	maiˋ ūanˋ lə̄i	一點也不胖	engine-auto	
ช่วงนี้งานหนัก	chuang ni ngan nak	chūangˋ nī~ ngān nakˇ	最近工作繁重	engine-auto	
ช่วงนี้งานหนักมั้ย	chuang ni ngan nak mai	chūangˋ nī~ ngān nakˇ mai~	最近工作繁重嗎	engine-auto	
ขยันหาเงิน	khayan ha ngoen	kaˇ yanˊ hāˊ ngə̄n	勤勞賺錢	derived	
ขยันเก็บเงิน	khayan kep ngoen	kaˇ yanˊ gepˇ ngə̄n	勤勞存錢	derived	
ขยันทำการบ้าน	khayan tham kan ban	kaˇ yanˊ tam gān bhānˋ	勤勞寫作業	derived	
ขยันฟังเพลงภาษาไทย	khayan fang phleng phasa thai	kaˇ yanˊ fang plēng pā sāˊ tai	勤勞聽泰文歌	derived	
ขยันพูดภาษาไทยทุกวัน	khayan phut phasa thai thuk wan	kaˇ yanˊ pūtˋ pā sāˊ tai tuk~ wan	每天勤勞說泰語	derived	
ขยันดูซีรีส์ไทย	khayan tu siri thai	kaˇ yanˊ dhū sī rī tai	勤勞看泰劇	derived	
ขยันดูซีรีส์ไทยทุกวัน	khayan tu siri thai thuk wan	kaˇ yanˊ dhū sī rī tai tuk~ wan	每天勤勞看泰劇	derived	
ขยัน จัง	khayan chang	kaˇ yanˊ jang	很勤勞	derived	
สะดวก จัง	saduak chang	saˇ dhūakˇ jang	很方便	engine-auto	
สะดวก ติด ต่อ	saduak tit to	saˇ dhūakˇ ditˇ dɔ̄ˇ	方便聯絡	engine-auto	
ติด ต่อ สะดวก	tit to saduak	ditˇ dɔ̄ˇ saˇ dhūakˇ	聯絡方便	engine-auto	
เข้า ออก สะดวก	khao ok saduak	kāuˋ ɔ̄kˇ saˇ dhūakˇ	進出方便	engine-auto	
ไป ไหน มา ไหน สะดวก	pai nai ma nai saduak	bai naiˊ mā naiˊ saˇ dhūakˇ	去哪裡都方便	engine-auto	
ตอน นี้ ไม่ สะดวก	ton ni mai saduak	dɔ̄n nī~ maiˋ saˇ dhūakˇ	現在不方便	engine-auto	
ตรง นี้ ไม่ สะดวก	trong ni mai saduak	drong nī~ maiˋ saˇ dhūakˇ	這裡不方便	engine-auto	
เฉย ๆ	choei choei	chə̄iˊ chə̄iˊ	還好 / 沒感覺	engine-auto	
พวก เรา มี คน สำคัญ	phuak rao mi khon samkhan	pūakˋ rāu mī kon samˊ kan	我們有重要的人	engine-auto	
ทุก คน สำคัญ หมด เลย	thuk khon samkhan mot loei	tuk~ kon samˊ kan motˇ lə̄i	每個人都很重要	derived	
ส่วน ตัว	suan tua	sūanˇ dūa	私人	engine-auto	
ขยัน เป็น พิเศษ	khayan pen phiset	kaˇ yanˊ ben pi~ sētˇ	特別勤勞	derived	
วัน นี้ ขยัน เป็น พิเศษ	wan ni khayan pen phiset	wan nī~ kaˇ yanˊ ben pi~ sētˇ	今天特別勤勞	derived	
ธรรมดา	thammada	tam dhā	普通	derived	
คน ธรรมดา	khon thammada	kon tam dhā	普通人	derived	
เมีย หลวง	mia luang	mīa lūangˊ	大老婆	engine-auto	
ราคา ธรรมดา	rakha thammada	rā kā tam dhā	普通價格	derived	
เอา พิเศษ หรือ ธรรมดา	ao phiset rue thammada	au pi~ sētˇ rɯ̄ˊ tam dhā	要特大份還是普通份	derived	
กิน ก๋วยเตี๋ยว	kin kuaitiao	gin gūayˊ dīauˊ	吃麵	derived	
เป็น เรื่อง ธรรมดา	pen rueang thammada	ben rɯ̄angˋ tam dhā	是平常的事	derived	
สว่าง	sawang	saˇ wāngˋ	明亮	derived	
สว่าง มั้ย	sawang mai	saˇ wāngˋ mai~	亮嗎	derived	
สว่าง มาก	sawang mak	saˇ wāngˋ mākˋ	很亮	derived	
ง่วง	nguang	ngūangˋ	睏	engine-auto	
ง่วง เหมือน กัน	nguang muean kan	ngūangˋ mɯ̄anˊ gan	也一樣想睡	engine-auto	
งง	ngong	ngong	懵 / 疑惑	derived	
งง เหมือน กัน	ngong muean kan	ngong mɯ̄anˊ gan	也一樣懵	derived	
งง นิด หน่อย	ngong nit noi	ngong nit~ nɔ̄iˇ	有點懵	derived	
จน จัง เลย อ่ะ	chon chang loei a	jon jang lə̄i aˇ	真的很窮啊	derived	
รู้ สึก แปลก ๆ	ru suek plaek plaek	rū~ sɯkˇ blɛ̄kˇ blɛ̄kˇ	感覺怪怪的	engine-auto	
รู้ สึก เซ็ง ๆ	ru suek seng seng	rū~ sɯkˇ seng seng	覺得掃興	engine-auto	
เพื่อน ร่วม งาน	phuean ruam ngan	pɯ̄anˋ rūamˋ ngān	同事	engine-auto	
รู้ สึก ไม่ อยาก คุย กับ เพื่อน ร่วม งาน	ru suek mai yak khui kap phuean ruam ngan	rū~ sɯkˇ maiˋ yākˋ kui gapˇ pɯ̄anˋ rūamˋ ngān	覺得不想跟同事說話	engine-auto	
รู้ สึก ธรรมดา	ru suek thammada	rū~ sɯkˇ tam dhā	覺得普通	derived	
รู้ สึก เฉย ๆ	ru suek choei choei	rū~ sɯkˇ chə̄iˊ chə̄iˊ	覺得還好	engine-auto	
สม น้ำ หน้า	som nam na	somˊ nām~ nāˋ	活該	derived	
เป็น ลม	pen lom	ben lom	暈倒	derived	
เป็น ห่วง	pen huang	ben hūangˇ	擔心	derived	
นิสัย ของ พวก เรา	nisai khong phuak rao	ni~ saiˊ kɔ̄ngˊ pūakˋ rāu	我們的個性	engine-auto	
